,labels,responses
538,SARCASM,If I had 1 million .. I would steal each and everything by paying off the bribe to Myntra Warehouse Employees      Join in guys   #MyntraEORS #EORSGameZone #IndiasBiggestFashionSale
539,SARCASM,"Nope . It's against the law to lie under oath . I agree it was ridiculous to go after Clinton for that due to the subject he lied about . But laws are laws . He broke one . Trump , however , did not . He honored a treaty Clinton signed . Oh the"
540,SARCASM,Wow ! ! ! What a bombshell ! This will surely turn this impeachment debacle around and the Dems will come out on top !
541,SARCASM,And yes I know I put bed school and not med school . I wanted to see what it was to be and do a stupid tweet at 1:30 am #TrumpsWarOfMassDistraction #Twitter
542,SARCASM,"elites r eagr 2 wipe out any hurdl n thr way , but sam pasion is compltly misng n plethora of prblms facd by populace ___"
543,SARCASM,"Of I had those elephants , I would worry less . #cuzelephants"
544,SARCASM,Because you losing respect will completely change the entire world - #TeamTony
545,SARCASM,"Oddly , you never notice the people pushing that stuff couldn't pass the same tests run on each other by each other .  ."
546,SARCASM,LMAO telling someone else to go back to civics & you don't even know why we have the Electoral College
547,SARCASM,There's nothing wrong in scoring because everything in FS is subjective
548,SARCASM,Oh I am so sad for u peering . I open a can of pity for u .
549,SARCASM,"Steamed chicken and broccoli , and hearing the riveting tale of all the weight you lifted today ? Yeah that sounds super attractive , and fun ! ! "
550,SARCASM,"best part : all the "" poor rural whites "" will be the ones fighting and dying #rubes"
551,SARCASM,One month out of how many in their lives ? Better move to Bangladesh - I hear it's a great place to raise a family
552,SARCASM,they do posadas where home owners turn away people pretending to be Mary and joseph #noroomhere #truelife
553,SARCASM,It's a Ferris wheel and he is Farris Wilks . Try to Be Less STUPID ! Hahaha .
554,SARCASM,"Confederates Whined That Lincoln and His Party Were "" Destroying Norms "" , Dreamed of One Day Seeing Him / Them in Prison . #GOP #PartyOfLincoln #Democrats"
555,SARCASM,You are totally wrong here . These billboards are in support of free pak occupied #Kashmir #pok . They are not anty India . After the abrogation of #article370 they want to be merged with us . .
556,SARCASM,Democrats feel the exact same way about the Republicans .
557,SARCASM,If Jesus was alive today Trump would probably kick him out of the country
558,SARCASM,did you miss the I left at the end of the tweet or did the 90 % piss you off you couldn't finish reading lol
559,SARCASM,Maybe he didn't know how bad it was until he got overseas and saw the real news ?
560,SARCASM,Where's our #PM #TheSmirk when there's a photo opportunity like that !
561,SARCASM,"Yep just like went trialling a new pharmaceutical , give it to everyone and if it is not safe we will no for sure ."
562,SARCASM,"You think there is going to be a Clinton trial , and you're telling me to get over it ? ? _"
563,SARCASM,"Yeah ? Hah ! Yet here we are , and you're still responding ."
564,SARCASM,"is about 10/11 years ago my mother walked out on my father , dragged though a messy federal family court divorce process . They separated in early January . #parent last unplanned admission was #January happy fecking new year ."
565,SARCASM,Zach he hasn't been the manager since 2017 it's time to find a new schtick . #NotLookingInTheMirror
566,SARCASM,""" That is the people "" so you decide which people count ? Where have I heard that before ?"
567,SARCASM,"Yes True , I rocked a mushroom cut for my parents and teachers in school . I guess They were seeing Jim Carrey in me .   Join in guys #MyntraEORS #EORSGameZone #IndiasBiggestFashionSale"
568,SARCASM,"the election was rigged in her favor . Remember the polls , media pundits , & Hollywood , yet she lost"
569,SARCASM,"Dude , this came from YOUR society . As does this ."
570,SARCASM,There's a link . 4 weeks . You seem smart
571,SARCASM,a banker getting tucked up by small print !
572,SARCASM,Did Kelly just call someone else messy ? Baaaahaaahahahaha ___ #RHOC
573,SARCASM,"Ironic statement considering your account name is "" nasty woman "" . #obsessed"
574,SARCASM,"listen to this guy , , , he has the experience of such claims , , lol"
575,SARCASM,Fun Fact : Secret Service protection is covered by TAXES which Trump infamously refuses to pay . #TrumpTaxes
576,SARCASM,"Yeah , It's Amazing How Dense "" Liberals "" Can Be Jeff Davis Was the White Barack Obama Or , Alternatively Obama Is Jeff Davis 2.0 Cheers"
577,SARCASM,So many followers were right ... I do need to put the hashtag on almost all my posts  
578,SARCASM,I knew it ! I thought I notice an exorcism in that back room during the conference !
579,SARCASM,"Woo hoo I made the cut . Lol You know , I have the same problem too . I'm always blocking people Lol * rolls eyes * No loss for you ! Bunch of weirdos on here ."
580,SARCASM,Wow . Epic burn .  Imagine writing a bill to address an issue that negatively impacts other ppl even if you're not effected by it * . The audacity ! * Not that this is 1 of those cases .
581,SARCASM,"the "" right "" to protest ? Protest about something that didnt go their way ? Toys back in the pram kids #spoilt #hypocrites"
582,SARCASM,"Um , sorry Andrew , but you forgot to use the hashtag ."
583,SARCASM,My point went over your head . Henry is a socialist & is whining about his individual rights being suborned to greater good
584,SARCASM,he says as he engages is being a keyboard warrior himself . #hypocrisy
585,SARCASM,I love it that she blows tens of thousands of taxpayer money on designer wardrobes that look hideous nonetheless . God bless our First Lady
586,SARCASM,""" snowflake "" from the girl who needed to throw a name calling Twitter tantrum because someone called out Ivanka"
587,SARCASM,"The people have spoken , that's Democracy . Weren't Hillary supporters afraid of Trump questioning the results ?"
588,SARCASM,". Id dump Grave Trolls tho , they will be banned , or they will ban other pieces to make them worthless ."
589,SARCASM,Exactly ! The mainstream Press seem to conveniently forget that Hillary's unsecured server gave others total access .
590,SARCASM,when the working class can't go see a band that sings about the working class ...
591,SARCASM,"Maybe if you want balance on the BBC , you should ask Boris to appear on Andrew Neil's show . The other leaders have , so it's clearly BBC left-wing bias that's stopping him from appearing ."
592,SARCASM,"It's crap like this that makes we wonder if the label of "" gay "" is an exercise in ."
593,SARCASM,Yes there has been rioting . The bridge on 1806 was damaged in one . That us what's killing the casino . !
594,SARCASM,we all know MSU got their mojo back w / that Rutgers blowout-watch sparty take care of osu / psu for Michigan now
595,SARCASM,"Since when do u have monopoly on twitter ? #sd43 students r entitled to opinions . Complains of "" clutter "" but spars w students ?"
596,SARCASM,but why have the speechless emojis when I expressed that in words
597,SARCASM,"An old Jewish man who wears his heart on his sleeves is JUST LIKE hate-mongering , genocidal neo-Nazis !"
598,SARCASM,"Napoleon only lifted the spirit of war , to bring French victory and pro peace folks are using his quotes ."
599,SARCASM,anymore lessons ? he is more fit than you could ever be and you are giving him fitness lessons .
600,SARCASM,same ! Some people were complaining saying the characters weren't complex enough .. this isn't a show for grad students
601,SARCASM,"Right now Iran leadership is holding a meeting : "" we didn't kill anyone , we used up our retaliation card . """
602,SARCASM,"Residence of "" sanctuary cities "" may find that news interesting ."
603,SARCASM,"how shocking . Never seen a republican protest an election , but peaceful dems ."
604,SARCASM,neighbour has lodged a complaint with PCA re : use of gal corro . Neighbours house designed by Glenn Murcutt
605,SARCASM,fox and friends is good wuality news unbiased
606,SARCASM,"Oh we know it is , but you all took it as gospel . What's the matter , is it #fakenews now ? Ha ha !"
607,SARCASM,it was a sarcasm .. Will include from next time :)
608,SARCASM,"See , they want to ban abortions even though they should have been aborted #toorude #fuckPC #guns"
609,SARCASM,I look forward to the third #credit card dispute to be #mishandled .
610,SARCASM,Seems  is a little pissy that is beyond her . Appears escapes her as well !
611,SARCASM,But he didn't want anything in return ! We know because he said it about ten times and definitely wasn't lying .
612,SARCASM,I haven't seen the tweet that Satin deleted so I'm only assuming the audio he is refering to . I think Satin might have taken it out of context .
613,SARCASM,Trump's campaign was built on fake new and lies and now he's complaining about fake news
614,SARCASM,Your forefathers sacrificed themselves for their future generations not wearing Hijab .
615,SARCASM,he's taking plays off or doesn't know how to sub himself out
616,SARCASM,You voted for Trump but you apparently have a thing against has been celebrities .
617,SARCASM,"On  ' s Bio : "" it is better to light one small candle than curse the darkness """
618,SARCASM,"Bengal is a part of Bangladesh , kashmir is a part of Pakistan , Assam n north east is in China , Delhi must be in Afghanistan . All the students irrespective of their religion must be proteges of Bin Laden . And everyone who protests r Pakistani . Only bhakts r Indian ."
619,SARCASM,"If they had the country they wanted , they wouldn't be allowed to act like #liberals .  . They '"
620,SARCASM,"Failed mirasi , failed doctor & failed philosopher and yet he so shamelessly still alive and breathing ."
621,SARCASM,You realize she's championing anti bullying which her husband is guilty of .
622,SARCASM,"without a doubt , if true . However you're aware of their history of meddling in other countries elections ?"
623,SARCASM,apparently I should have added the work in my tweet because it was missed ...
624,SARCASM,Like the earth is flat and it's round ... seems reasonable .
625,SARCASM,I feel like I repulsive set a bad president .
626,SARCASM,"Hitler was a leftist , which makes their use"
627,SARCASM,"they don't . They scream respect democracy , whilst telling you to "" shut up """
628,SARCASM,"could do , but surely he has better things than answering seriously to a #joke"
629,SARCASM,Tweets like this happen when you don't read the rest of the thread #Comprehension
630,SARCASM,"but don't you know , everything is his fault since he won ?"
631,SARCASM,"was once , or . Now it's accepted as the #truth . I hope #MichaelChamberlain found peace / 2"
632,SARCASM,Casual racism because James doesn't want to watch a racist
633,SARCASM,"haha ! great pick - however most crashes seem to happen in those so-called "" express lanes "" ;)"
634,SARCASM,of #EUref result ? Brexiters expect UK to leave #EU on a WEAKER democratic test than EU's own voting test
635,SARCASM,and because of the highly touted Mike Nugent lol .
636,SARCASM,"I was going for the . PV method gives MMP the win ! But PV finished 4th ? Wait . What ? No respect 4 PV . Oh , that's how PV works"
637,SARCASM,"what a fascinating conclusion . Definitely surprising that , with an absence of fact , you would deflect to name calling ."
638,SARCASM,"Sounds a bit like marital law to me . Then again , Trump will get flack for using Obama's law ."
639,SARCASM,".   With all the orwellian excesses in the name of "" #political #correctness "" , will and be #hatespeech ?"
640,SARCASM,"lol . Double if you can't read between the lines of what I meant , I , & certainly jeeebusss can't help you ."
641,SARCASM,The one who wants to punch people that say things she doesn't like is going off about lack of brains
642,SARCASM,"We are offended by doormats with Indian Flag , but not when Indian Women are treated like doormats ."
643,SARCASM,Responding to #Brexiteer's stupid & cavalier threat of English civil war . Apologies for lack of hashtag .
644,SARCASM,"1 ) I am not of the left . 2 ) today , w this EO , it is the right that is religion as "" a cudgel to attack others "" ."
645,SARCASM,"No #Berners did not vote for Hildabeast lol ( you must be confused by facts the internets do not lie ) , Illegal Mexicans were bused all over making Trump 3 million votes short of the popular vote . Blame the #illegalimmigrant #mexican , not"
646,SARCASM,says the man who writes for the sun
647,SARCASM,"Well its actually not hypocritical at all but sure , narrative ."
648,SARCASM,that's called ! maybe the 3yr old should have had a #gun to defend himself  #gunsense #guncontrol
649,SARCASM,ha ha ! The is that they all have to wear name badges ! Not even standard BB wear badges ! #cbb2017
650,SARCASM,How do you know the LGB alliance does not speak for the majority of the gay community in this country ? Is there a survey to back up your assertion ?
651,SARCASM,terus Zakir Naik yg suka ngehina kitab agama lain kok didiamin ? Mau playing victims ya Muzzie ? #MuslimLogic
652,SARCASM,I couldn't imagine dealing with your guys conditions ... the look on his face says he is enjoying that job to 
653,SARCASM,Jesus offended the self-righteous . The ones offended were not His chosen .
654,SARCASM,and how this is fair on paying customers ? I was on time for one of your trains but couldn't get on ...
655,SARCASM,"Nazis aren't communists . Different things entirely . Also , Trump supporter calling someone ELSE a nazi ?"
656,SARCASM,"Jeff , if I am paying 60k a year for school the least you could do is not care about my education ."
657,SARCASM,If I had 1 million .. I would buy each and everything by paying off the bribe to Myntra Warehouse Employees      Join in guys   #MyntraEORS #EORSGameZone #IndiasBiggestFashionSale
658,SARCASM,"I was able to connect and then I wasn't as soon as I saw this notification lol . You got this , guys !"
659,SARCASM,what a surprise ! Strike over ! Amazing they could reach a last minute agreement based solely what is best for their members .
660,SARCASM,I feel like i cursed them all . My predictions are that important #UFC245
661,SARCASM,Fantastic ! Thanks for sharing . Tho the note at the end of the article seems to indicate that actual building access and parking could be an issue .
662,SARCASM,Joe go on and whack someone for being a Bigot . Go on .
663,SARCASM,Hillary can't do it or she will get eaten alive in press for giving trump a hard time for contesting elections .
664,SARCASM,Americans have voted that Jewish networks of terror / influence and commonwealth / Christian oppression is okay ! That everything is hunky dory . Okay . That Big Brother and Body Exchange Tech Networks are Okay ! Okay ! Okay ?
665,SARCASM,Because if your wealthy and famous you shouldn't care about what happens to your country ?
666,SARCASM,"isn't it curious how "" tolerant "" progressives impute "" gay "" on their political opponents , as if that's bad ?"
667,SARCASM,Apperently #GretaThurnberg did change the #Weather she made it #Winter in the 
668,SARCASM,and all Christmas trees must be down by 12th night too
669,SARCASM,No . Not even one . They're alll purely indians . The fact that i am from myanmar is confidential so pls :)
670,SARCASM,We won a summer sport in the winter ? #snooze
671,SARCASM,a nationalist with sense of whilst shouting for Scottish Dominance gotta love that ;)
672,SARCASM,"You say "" Research & confirm 1st "" then you cite Allen West as a reputable source ?"
673,SARCASM,Sometimes I think that maybe the term #mansplaining gets overused . And then a man manages to prove me wrong .
674,SARCASM,"if #brexitmeansbrexit , nothing that reqs ' secret negotiations ' . #TheresaMay is the prob #Brexit"
675,SARCASM,"Funny . ISTM the shoe is on the other foot now . UR "" church "" is full of "" Gentilizers """
676,SARCASM,"Oh I can see why she would be so "" humiliated "" driving this hunk o junk ...  ( Actually ) I'm green with envy"
677,SARCASM,It was Trump that called it rude in a tweet .
678,SARCASM,god bless the Muslims to make your beloved EFC competitive in the PL ...
679,SARCASM,"Yeah , a bunch of burnout boomers taking a cue from Sesame Street with lettered T-shirts , are really going to sway the nation's opinion ."
680,SARCASM,"sorry , are you respecting my view or aren't I allowed one ?"
681,SARCASM,"God , you Bolton fans are all the same , talking about your ' history ' ."
682,SARCASM,"Funny how your profile talks about choosing to worship a god or idol , and here you are , propping up Trump"
683,SARCASM,Report : Tom Brady abducted by space aliens during practice . #NotReally #Relax
684,SARCASM,Oh What an We #Rajputs always get the wrong end of the stick in the #History_Book_ What a #Tragedy
685,SARCASM,This is a classic case of Mental Bankruptcy ! This #duffer  is making fun of #AcidAttack survivor to show his support for a ' movie ' based on #AcidAttack victim Friggin two faced idiot ! Where ate those so called women rights activists ?
686,SARCASM,"Wow what an intelligent solution , why didn't I think about it before . I guess I should come to you only after I go to customer care team what an idiot I'm ."
687,SARCASM,"Yeah , that fake war hero former POW should apologize to me for making me insult him . hypocrisy #USA"
688,SARCASM,Wayne Barnes in one of the NZvsWal tests this year chalked off an AB try for a forward pass only he saw .
689,SARCASM,"Melania is an immigrant . That makes all the designers who refuse to dress her , Xenophobes ."
690,SARCASM,How can one tell ... theres no attached ... given PVOs predilection to chop and change his political opinions its hard to tell ...
691,SARCASM,That's outrageous . Don't tell me you expect the Sharons of this world to actually inform themselves before opening their mouths . #bettermakesurethatsclear
692,SARCASM,Fortunately climate change is on our side for that request .
693,SARCASM,says the one who's dog takes commands in German
694,SARCASM,"Nah but , thats not bigger than a new character in smash   "
695,SARCASM,yeah . Still prefer what you did to though
696,SARCASM,why are you allowed to have an opinion but he can't ? We tweet what we want . They should do the same .
697,SARCASM,might lead to the axing of Who Do You Think You Are ? _
698,SARCASM,"Not true . A lot of ppl have said the world is safer . ... ... republican leaders , members of the trump administration ... everyone faux news ..."
699,SARCASM,George Soros would never try to disrupt a stable government .
700,SARCASM,How are you a social democrat and a warren supporter
701,SARCASM,THAT'S the : The EDITOR of the Mag SELECTED the pic . Then the Model IS BLAMED for #CulturalAppropriation . #PC MUST STOP !
702,SARCASM,and then JI chief sb went to lhr and met CM where they agreed to cooperate with each other !
703,SARCASM,"I tweeted thru all the best sessions , but I couldn't stop taking photos in yours--but it was SO GOOD I had to tweet !"
704,SARCASM,"Well , there's so many "" ought nots "" with this administration ... but why start with her , AMIRITE"
705,SARCASM,"It's funny how there aren't any of  and like that , you know , sitting on daddy's /'s lap , getting hugs , ...   poor guys ..."
706,SARCASM,uh huh ... speaking about a special kind of stupid
707,SARCASM,Soon to be Sir Nigel Farage allegedly . Meaning he'll Unelected take an unelected seat in the Lords .
708,SARCASM,"... all the times I tweeted at y'all about serious issues , and this the tweet you respond to ?"
709,SARCASM,Did Enoch Powell also have a low IQ in that case ? What about Thatcher ?
710,SARCASM,"exactly lol , I admit it , I'm included in all people , you're the one denying ..."
711,SARCASM,"#china #ccp has #organharvesting , it's quite enough for the commies to live longer by transplanting dissidents ' organs . Why do they need to learn to find cure for cancer ?"
712,SARCASM,Our Canadian Immigration Minister a Somalian immigrant now banned
713,SARCASM,No proof of any other teams ever ever stealing signs !  . Should be banned for life and WS championship stripped .
714,SARCASM,and it's about to be a cold day in hell
715,SARCASM,He wants to see Jalen truck Chase Young maybe 
716,SARCASM,"IF it is about REAL ESTATE , you are right . IF it is about PEOPLE / HEARTS , you are very much wrong . CAA excludes Muslims from Pakistan & NRC may exclude some Indian Muslims ."
717,SARCASM,Bill went to xavier had brilliant education equal to Truffles except Bill followed his family values
718,SARCASM,and you need to have a dog's face in front of your face to make you look better .
719,SARCASM,"Protecting them from the tyranny of the majority , something liberals usually complain about ."
720,SARCASM,A NEW PHONE ! ! ! ... except the regular speaker is broken . You'll have to use speaker phone everywhere .
721,SARCASM,"you're right , I do hate the Bible . And you realize that Trump is the very person described in M21 : 12 ."
722,SARCASM,Fabulous idea will give me a good laugh every day ?
723,SARCASM,sure becoz privileged women who actually don't spend more than few months n Saudi can talk about our behalf
724,SARCASM,And now the show that did the shaming is a nostalgia trip .
725,SARCASM,I can't wait for 2035 when we will finally emerge   ‍  ️
726,SARCASM,Your hashtags are insufficient to save you from my oncoming rant !
727,SARCASM,What like Poch tried when he knew we didnt have a good enough midfield two ? How dare he ! Joses a Winner and should be better than that
728,SARCASM,poor English speakers who can't express difference between singular and plural you
729,SARCASM,"Absolutely , that $ 16 / month ( 4.5 weeks at 40 hours per week , approx . 180 hours ) is priceless ! #slavelabor #getreal"
730,SARCASM,"Ugh , I know . Some I know loved when former Pres . Obama was attacked . Now , they hate that they're questioning Trump ."
731,SARCASM,"I know ! All this stuff about Gruden , Payton or trading for a coach and they end up with an OC nobody had heard of ."
732,SARCASM,"Just as British politics has never been more "" Northern Irish "" in a way ."
733,SARCASM,So who are the authors of the refugee EO ? His closest advisors who were not subject to any vetting before assuming roles ?
734,SARCASM,best part of that tweet is the fact that it's Gretter wearing that shirt
735,SARCASM,"4 more years of gridlock & the ( D ) taking up the "" party of no "" title seems great . #Murrica ."
736,SARCASM,""" Enach says moon is self-illuminating "" Genesis says that too , calling it a light . That's + 1 for our team !"
737,SARCASM,Now Anbari politicians are saying that the screening process isn't being implemented with enough strength
738,SARCASM,this is from a Dungeons and Dragons show called Critical Role . My fantasy worlds just unintentionally collided .
739,SARCASM,don't worry . Pretty soon the #USA of  and will be trying to educate gays & rehabilitate them back .
740,SARCASM,I always thought electoral college was in place specifically to guard against the masses picking an ignoramus .
741,SARCASM,Ya Bc Obama & the libs would NEVER let the rich get richer & the poor get poorer . #hypocrisy
742,SARCASM,"If you actually did #dosomeresearch , you'd know that the recent report estimated the cost for activating the recommended detour option is 30 mil , not "" billions """
743,SARCASM,And I put them all on the Expos because
744,SARCASM,"I read it as using #trump lingo since you're covering him . #TrumpLand sees them as "" illegal aliens "" < human"
745,SARCASM,or bemoan the fact that our education system is being dismantled #LazyWeb
746,SARCASM,Yup she's done a bang up job for the last 20 years .
747,SARCASM,"no . In Trump's America , they would be forced to remove it in the guise of "" freeing them """
748,SARCASM,Glad to hear the Russian player is going to be okay after this brutal headbutt . Hard to believe the Canadian is still allowed to play at all . Great call #iihf #worldjuniors
749,SARCASM,""" where teachers have 200 + students , truly differentiated instruction is a physical impossibility . "" Yah sure whatever ... If the teacher is good at their job , should be no problem personalizing learning for 1000 kids . #bced"
750,SARCASM,still ppl r widely using it .. Just a min b4 Mr Kore said it Belgaum .. #Belagavi
751,SARCASM,You appear to have omitted the sarcasm hashtag .
752,SARCASM,The of someone calling for diversity of news right after posting an article from Thinkprogress . #OyVey
753,SARCASM,Blocked by Tory stooge and coward  for correcting him !
754,SARCASM,"Laws are in rugby ... football are rules . #VAR and the general grey areas in football ( which can all be avoided ) , bring the game into disrepute , which is the biggest rule breaker they have every season !"
755,SARCASM,""" we want to ban people who would persecute others based on religion , so we will select those people based on religion """
756,SARCASM,And whatever the Donald days MUST be true ! ! #donniedoesntgetit
757,SARCASM,... tone it down - that's the fastest looch has skated in months ! ! #JustKidding
758,SARCASM,"Upon a clearer observation , isn't it quite obvious this was not an attempt at be"
759,SARCASM,"But of course , the Ministry of Truth has spoken ."
760,SARCASM,oh the duh duh duh duh . Yeah okay bro hasn't done anything for the city of chicago now wants to go there for symbolism
761,SARCASM,"For wearing a sweater . And having a cake . Yeah , I forgot , no rainbows in the Bible ."
762,SARCASM,""" I am a Founder too . I founded some beautiful buildings all over NYC """
763,SARCASM,"I have to say ... Every time I saw  on talking about being around ' flippers ' for most of his life and how maybe it should be illegal , I couldn't help hear & crack up about the  sirens getting louder in the background   "
764,SARCASM,"my guess is dude prolly never played a day of baseball in his life , but critiques major leaguers ..."
765,SARCASM,it says that there is connection problems ... Good luck getting it resolved . _
766,SARCASM,You corrected her grammar while committing a grammatical error .
767,SARCASM,my dad wanted to name me after Tie Domi but my mom didnt want me named after an article of clothing
768,SARCASM,It's a fair cop ! Thinking of heading up tomorrow as it goes .
769,SARCASM,"Don  t forget Americans sacked  , who now gleefully  begs  them again , for being too stupid & blunt ."
770,SARCASM,This is an issue better left to the states .
771,SARCASM,If I had 1 million .. I would buy each and everything by paying off the bribe to Myntra Warehouse Employees     Join in guys   #MyntraEORS #EORSGameZone #IndiasBiggestFashionSale
772,SARCASM,Would you mind providing update ? Refund my money ASAP #Pain #RefundMoney
773,SARCASM,What the hell would they have to lose ?
774,SARCASM,you're right we don't see this every week from wilson 
775,SARCASM,""" The stupids "" says the woman who doesn't know the difference between "" your "" and "" you're """
776,SARCASM,Fate of India lies in the hands of politicians . #MyCapitalAmaravati
777,SARCASM,"that's what religion is wishing and waiting for . "" 2nd coming "" blah blah blah . _"
778,SARCASM,you have to admit the diversity of the trump supporters is incredible
779,SARCASM,"looks like Curtis Montague's three rings can't stop his hairline from "" striking out "" "
780,SARCASM,man dragging UK back to 1953 to suit own agenda accuses others of narcissism ?
781,SARCASM,There was a Poppy seller in town yesterday - in a disused shop doorway next to a homeless man who fought in Iraq
782,SARCASM,- a #trumper redefining & #lies no longer a novelty - all of you do it
783,SARCASM,"So if you don't like an opinion , you resort to insults ?"
784,SARCASM,"Just so you know . This is from McCaffrey's Bio . "" He has been elected to the Board of Directors of CRC Health Corporation , the National Association of Drug Court Professionals ( NADCP ) "" . So he has no conflict of interest ."
785,SARCASM,"Indeed , 8 million people are caged with million RSS NAZI oriented war criminals suffering from complete communications blackout . Still we activists are getting blocked for exposing war crimes of India ."
786,SARCASM,"Iran would not have been annihilated , imo , but we would have entered into another never-ending war and terrorist threats to Americans & westerners would have dramatically increased worldwide . The only thing preventing this was Iran's ( ! ) rational , restrained behavior"
787,SARCASM,So you act hatefully to those that don't share your childish view of the acceptable consequences of free speech .
788,SARCASM,yeah ! You only care about rich celebrities like me !
789,SARCASM,What flavor sucker would you want Larry ? I've seen this cherry one that seems to be popular - Chris
790,SARCASM,the Intel briefing would have told him the issue was already over by the time he tweeted . #edumacation #CHAIINUHH
791,SARCASM,"Wow , that requires a whole lot of coal !"
792,SARCASM,And since the famous Bette Middler it has to be true . I've seen her on tv with my own eyes . The View is just another propaganda outlet
793,SARCASM,"His statement in no way defends President Trump , but you're too blinded by your hatred for him that you cant tell . Yet , your response ..."
794,SARCASM,Yeah . She only has 60k + followers . Nothing for to worry about .
795,SARCASM,"Man , you guys take your customer service seriously #WowSoFast"
796,SARCASM,"on top of that , u r asking this ques to some 1 who has been reprimanded for violence _"
797,SARCASM,"who are the "" political opponents "" who hired this foreigner to meddle in our elections * whispers * Hillary lol"
798,SARCASM,""" Oye Lucky Lucky Oye "" I would steal each and everything by paying off the bribe 1 million to Myntra Warehouse Employees   Join in guys   #MyntraEORS #EORSGameZone #IndiasBiggestFashionSale"
799,SARCASM,".. wait .. what ? ... is this dubbed ? .. How can it be I agree with ? .. surely she hasn't changed her mind because that would mean she is an unprincipled #Hypocrite today , right ?"
800,SARCASM,They are also banning free movement of citizens from certain european countries .
801,SARCASM,We are living between extremists and ( 2 no ) fake liberals .
802,SARCASM,Oh but the donors from insurance corps don't want that . Can we deprive them of millions of $ because we are so selfish we think we deserve health care ? Neolibs stupid if they think we don't see it .
803,SARCASM,I'm glad the Tories are the party of law and order otherwise it could be worse
804,SARCASM,Hey Mr Big Nuts could have landed his chopper and retrieved the bodies in 10 minutes god the SAS are pussies
805,SARCASM,Amazing how Donald Trump provoked the Iranians to start committing terrorist acts against America 37 years before he became the President .
806,SARCASM,8 weeks tops . Same duration as a product of conception is an embryo . _
807,SARCASM,awesome . Lectured by a guy who doesn't know that not all Germans were nazis .
808,SARCASM,"Well , we could put them all in little conformist uniforms and give them little red books ."
809,SARCASM,Kind of like your status in the USA . I hope all the evangelicals pray hard after this ‘ brilliant'move .
810,SARCASM,"Kids are innocent , those are criminals , so they get in prison like an adult . You have to learn the difference . Karens kids never do wrong , if so , anybody else is to blame , but those innercity kids , rotten to the core , ban them ."
811,SARCASM,"Bahahahahahaha __ and you know I me some , sistah ___"
812,SARCASM,the laws against suicide only penalize the survivors
813,SARCASM,But that would make the Network constantly calling Trump racist ... Racist
814,SARCASM,But but but if it's taxpayer funded it should only be the minimum wage coz it's our money not theirs
815,SARCASM,my point was that spiked are left wing & pro-immigration while the people re-tweeting them aren't
816,SARCASM,and yet you offer your unsolicited gems of insight
817,SARCASM,Said the person that believes the constantly lying
818,SARCASM,"Still vaporware . Routing is still unsolved , so small devices will not be able to route for themselves if the networks grows substantially like it's supposed to . Hmmmm . Almost like new criticisms don't invalidate old ones . Bitcoin scales . LN does not ."
819,SARCASM,"no . This is how i react when a racist is elected to lead people of color . Bet , u say ur not racist ? Support one tho ."
820,SARCASM,Yep . Neo-nazi's threatening violence because * gasp * universal background checks & limiting a person to only purchasing 1 gun a month ! The nerve of these politicians . Funny how 2nd amendment nut jobs only like the Constitution when it favors their viewpoint !
821,SARCASM,"Exactly , why would we want to spend money on reducing the pollution we pump into the atmosphere ? Or on trying to protect the planet for our kids ? Pfft , they can fend for themselves ."
822,SARCASM,"YAY they're so nice , I had one and it was white and washed it with pink underwear and literally make it pink #laughorcry"
823,SARCASM,It seems this  loves enjoying his minority rights in the U . S and I am sure he is upset by the long green card line for Indians and the unfair U . S immigration system . And I am also sure he is a card-carrying RSS member . #Hypocrite
824,SARCASM,see at the end of that sentence was the hashtag #reversepsychology . I could have added to make it more clear ?
825,SARCASM,"Sounds Like an Old "" Cotton Whig "" Railing Agnst the GOP on New Year's Day 1864 #GOP #PartyOfLincoln #Democrats"
826,SARCASM,where do the people on food stamps get their food from ?
827,SARCASM,I'm sure the GOP congress will do everything possible to stop a stimulus plan .
828,SARCASM,"Reality or is beyond  . Surprised he didn't tweet CNN was controlled by #aliens , it's part of his shtick"
829,SARCASM,"Speaking of solo trails , JMO , you want to run trails tomorrow ? #BibChat"
830,SARCASM,Not surprised where this came from . Only #radonc could nuke a thread with this #radioactive ! A sham quality
831,SARCASM,but YOU'RE whining about a simple fact : he lost 12M fans over the weekend . Go get a safe space ___
832,SARCASM,"Exactly !  You DO know what Lovecraft named his black cat , right ? Approximately 80 years after his death , Black people are involved in bringing Lovecraft's fictional universe to a new generation .  #Gottaloveit"
833,SARCASM,"I agree , bullies are everywhere . Just look in the mirror , and you will see one right in front of you ."
834,SARCASM,This is about the GOP-Trump dynamic if not obvious . Could be really funny if scripted as a sketch about Iran for eg .
835,SARCASM,Because Mrs May and her cronies have froze him out . They see him as a threat to the authority he gave them .  .
836,SARCASM,From a fan of a club which covered up employees being sexually assaulted & harboured paedophiles ... _
837,SARCASM,"You forgot the tag . Sarcasm often doesn't come across well on twitter because a lot of leftists support authoritarian slaughter like this as long as the "" right "" people are getting slaughtered . I've heard more than one of them say that all Trump supporters should be dead"
838,SARCASM,You're defending civility by being ... uncivil . Interesting strategy . ( My POINT is no one shld be uncivil )
839,SARCASM,the example for sacking Alex Neil was set by Alex Neil #ncfc
840,SARCASM,"We have master plan , 3 crore refugees in 19 crore Muslims out population issue solved  hai"
